Function,Notes,ner,ne0,ne1,np0,ne2,np1,cjo,cjm,ceo,cem,cpo,cpod1,cpod2,cpm,cpmd,cjc,iqs,iqt
func_8002F334,,,80022AD0,,,,,,,,,,,,,8002F334,,,
Audio_PlayActorSound2,,,80022FD0,,,,,,,,,,,,,8002F828,,,
Actor_Spawn,,,80025110,,,,,,,,,,,,,80031F50,,,
Actor_SpawnAsChilld,,,800253F0,,,,,,,,,,,,,80032458,,,
Actor_ChangeCategory,,,800265D4,,,,,,,,,,,,,80033748,,,
,,,,,,,,,,,,,,,,,,,
Gfx_DrawDListOpa,,,80028048,,,,,,,,,,,,,80035260,,,
Gfx_DrawDListXlu,,,800280C8,,,,,,,,,,,,,80035324,,,
,,,,,,,,,,,,,,,,,,,
func_80038290,,,8002B024,,,,,,,,,,,,,80038290,,,
,,,,,,,,,,,,,,,,,,,
DynaPoly_SetBgActor,,,800313A4,,,,,,,,,,,,,8003EA74,,,
DynaPoly_DeleteBgActor,,,80031638,,,,,,,,,,,,,8003ED58,,,
,,,,,,,,,,,,,,,,,,,
CollisionHeader_GetVirtual,,,80033EF4,,,,,,,,,,,,,80041880,,,
,,,,,,,,,,,,,,,,,,,
DynaPolyActor_Init,,,80035260,,,,,,,,,,,,,80043480,,,
,,,,,,,,,,,,,,,,,,,
func_8005B198,,,80049DA4,,,,,,,,,,,,,8005B198,,,
,,,,,,,,,,,,,,,,,,,
Collider_InitCylinder,,,8004AB7C,,,,,,,,,,,,,8005C364,,,
Collider_SetCylinder,,,8004ACEC,,,,,,,,,,,,,8005C4AC,,,
Collider_DestroyCylinder,,,8004ABCC,,,,,,,,,,,,,8005C3AC,,,
CollisionCheck_SetOC,,,8004C130,,,,,,,,,,,,,8005DC4C,,,
Collider_UpdateCylinder,,,80050B00,,,,,,,,,,,,,800626DC,,,
,,,,,,,,,,,,,,,,,,,
Audio_PlaySoundAtPosition,,,80058FF8,,,,,,,,,,,,,8006BAD8,,,
,,,,,,,,,,,,,,,,,,,
func_8007672C,,,800625B0,,,,,,,,,,,,,8007672C,,,
,,,,,,,,,,,,,,,,,,,
Lib_MemSet,,,80063630,,,,,,,,,,,,,800777E0,,,
Math_SmoothStepToF,,,80064178,,,,,,,,,,,,,80078310,,,
func_80078914,,,80064780,,,,,,,,,,,,,80078914,,,
,,,,,,,,,,,,,,,,,,,
Lights_PointNoGlowSetInfo,,,80065BCC,,,,,,,,,,,,,80079D8C,,,
,,,,,,,,,,,,,,,,,,,
Interface_ChangeAlpha,,,8006D8E0,,,,,,,,,,,,8006D3B0,800825E0,,,
,,,,,,,,,,,,,,,,,,,
Gfx_CallSetupDL,,,8007DFBC,,,,,,,,,,,,,80093774,,,
func_80093D18,,,8007E298,,,,,,,,,,,,,80093D18,,,
,,,,,,,,,,,,,,,,,,,
func_80095248,,,8007EE5C,,,,,,,,,,,,,80095248,,,
,,,,,,,,,,,,,,,,,,,
SkelAnime_DrawFlexOpa,,,80089D8C,,,,,,,,,,,,,800A1AC8,,,
,,,,,,,,,,,,,,,,,,,
Sram_InitDebugSave,,,800900EC,,,,,,,,,,,,,800A82C8,,,
Sram_InitSram,,,,,,,,,,,,,,,,800A9AD0,,,
Sram_Alloc,,,800912C4,,,,,,,,,,,,,800A9CD4,,,
,,,,,,,,,,,,,,,,,,,
View_Init,,,80091858,,,,,,,,,,,,,800AA278,,,
,,,,,,,,,,,,,,,,,,,
GameState_Update,,,800A0BD0,,,,,,,,,,,,,,,,
GameState_Init,,,800A0DF8,,,,,,,,,,,,,,,,
GameState_Alloc,,,,,,,,,,,,,,,8009FD58,800C5484,,,
,,,,,,,,,,,,,,,,,,,
Graph_OpenDisps,,,,,,,,,,,,,,,,800C6AC4,,,
Graph_CloseDisps,,,,,,,,,,,,,,,,800C6B54,,,
,,,,,,,,,,,,,,,,,,,
Main,,,800A1C50,,,,,,,,,,,,,800C6E20,,,
,,,,,,,,,,,,,,,,,,,
Math3D_Cos,,,800A4EBC,,,,,,,,,,,,,800CAFEC,,,
,,,,,,,,,,,,,,,,,,,
Matrix_Init,,,800AA6B0,,,,,,,,,,,,,800D0810,,,
,,,,,,,,,,,,,,,,,,,
Matrix_Translate,,,800AA7F4,,,,,,,,,,,,,800D0984,,,
,,,,,,,,,,,,,,,,,,,
Matrix_NewMtx,,,800AB900,,,,,,,,,,,,,800D1A88,,,
,,,,,,,,,,,,,,,,,,,
SystemArena_Free/FreeDebug,,,,,,,,,,,,,,,800CE310,800FD7B4,,,
,,,,,,,,,,,,,,,,,,,
Rand_ZeroOne,,,800CDCCC,,,,,,,,,,,,,800FD9AC,,,
,,,,,,,,,,,,,,,,,,,
sinf,,,800CF470,,,,,,,,,,,,,80100290,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
StackCheck_Init,,,80001890,,,,,,,,,,,,800016B0,80002660,,,
osRecvMesg,,,80002030,,,,,,,,,,,,80001C40,80003280,,,
osSendMesg,,,80001E20,,,,,,,,,,,,,80003060,,,
osDestroyThread,,,80002D70,,,,,,,,,,,,80002D00,80004340,,,
osCreateThread,,,80002F20,,,,,,,,,,,,80002F10,80004550,,,
osSetEventMesg,,,80003FB0,,,,,,,,,,,,80003BE0,80005220,,,
osCreateMesgQueue,,,80004220,,,,,,,,,,,,80003E10,800061D0,,,
osSetThreadPri,,,80004480,,,,,,,,,,,,80004070,80006430,,,
osGetThreadPri,,,80004560,,,,,,,,,,,,,80006510,,,
osStartThread,,,,,,,,,,,,,,,80005C40,80008FC0,,,
,,,,,,,,,,,,,,,,,,,
PreNmiBuff_Init,,,,,,,,,,,,,,,80067040,8007BE60,,,
Fault_Init,,,,,,,,,,,,,,,800AF364,800D6484,,,
SysCfb_Init,,,,,,,,,,,,,,,800A3C40,800CA3A0,,,
SysCfb_GetFbPtr,,,,,,,,,,,,,,,800A3D28,800CA508,,,
SystemHeap_Init,,,800CD390,,,,,,,,,,,,800CD8C8,800FCB24,,,
SystemArena_Init,,,,,,,,,,,,,,,,,,,
SysCfb_GetFbEnd,,,,,,,,,,,,,,,,800CA530,,,
SystemArena_Malloc/MallocDebug,,,,,,,,,,,,,,,,800FD5C0,,,
